	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0070411"	46.59	60.21	76.47	45.96	52.66	46.68	15.52	8.72	15.63	24.62	25.23	32.47	31.89	39.62	68.96
"FBtr0300792"	38.88	51.36	52.42	44.73	40.61	39.03	17.48	10.27	16.31	25.20	27.74	31.35	24.25	29.89	42.37
"FBtr0070283"	69.53	57.81	55.77	78.15	73.41	83.12	30.29	34.31	33.35	74.94	77.45	80.65	78.54	85.70	68.71
"FBtr0089814"	0.15	0.87	1.10	0.41	0.45	0.04	0.87	0.35	0.01	0.12	0.29	0.10	0.00	0.03	0.45
"FBtr0089815"	0.00	0.00	0.12	0.00	0.00	0.00	0.16	0.05	0.33	0.00	0.00	0.06	0.11	0.26	0.47
"FBtr0308321"	0.13	0.14	0.21	0.00	0.08	0.03	0.13	0.00	0.18	0.12	0.07	0.12	0.06	0.09	0.17
"FBtr0308322"	0.00	0.05	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06
"FBtr0308323"	0.20	1.17	0.63	0.01	0.36	0.46	0.45	0.12	0.00	0.15	0.29	0.14	0.64	0.25	0.80
"FBtr0308324"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0330408"	0.00	0.00	0.12	0.00	0.00	0.00	0.16	0.05	0.33	0.00	0.00	0.06	0.11	0.26	0.47
"FBtr0333117"	0.00	0.48	0.00	0.34	0.10	0.00	0.27	0.16	0.28	0.00	0.00	0.30	0.15	0.17	0.00
"FBtr0333118"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.03	0.00	0.00	0.00
"FBtr0333119"	0.64	0.00	1.47	0.34	0.15	0.00	0.29	0.13	0.44	0.36	0.37	0.10	0.00	0.32	0.51
"FBtr0333120"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070080"	0.15	0.14	0.08	0.13	0.00	0.07	0.00	0.21	0.08	0.06	0.13	0.00	0.00	0.07	0.00
"FBtr0340145"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070088"	0.07	0.06	0.14	0.00	0.16	0.00	0.14	0.06	0.00	0.11	0.06	0.00	0.00	0.00	0.21
"FBtr0070079"	21.60	21.50	26.05	29.23	28.92	28.25	8.74	5.78	7.44	18.84	20.46	22.36	22.16	19.72	29.51
"FBtr0070092"	32.20	35.92	38.30	44.59	41.96	47.17	0.71	0.79	1.25	21.69	18.95	20.40	23.63	37.80	34.73
"FBtr0070093"	0.53	0.85	0.75	1.91	1.00	0.60	0.00	0.00	0.00	0.55	1.17	0.88	1.90	1.45	1.13
"FBtr0070385"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0310076"	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0310500"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0310501"	18.23	21.90	21.80	31.77	29.32	29.93	0.65	0.40	0.72	16.21	15.84	16.43	13.37	23.50	20.93
"FBtr0070426"	0.00	0.00	0.00	0.00	0.04	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00
"FBtr0310077"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070425"	29.92	34.20	33.89	43.95	43.37	45.23	6.03	4.66	6.76	23.97	25.67	27.67	29.55	36.53	36.99
"FBtr0070347"	86.59	84.58	89.47	98.06	88.31	101.01	60.58	50.18	59.41	85.62	86.89	96.82	92.89	86.80	93.11
"FBtr0070393"	2.28	3.04	2.94	2.46	2.95	3.03	0.61	0.53	0.85	2.21	1.83	3.28	7.24	7.57	9.53
"FBtr0342765"	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070423"	0.05	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301701"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0305501"	0.05	0.04	0.05	0.15	0.16	0.42	0.31	0.16	0.14	0.13	0.09	0.05	0.09	0.00	0.28
"FBtr0330066"	0.03	0.00	0.00	0.06	0.07	0.03	0.09	0.00	0.00	0.06	0.03	0.02	0.00	0.00	0.00
"FBtr0330067"	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0333358"	0.00	0.04	0.13	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.05	0.02
"FBtr0076983"	337.34	353.60	345.02	403.51	392.63	375.26	120.15	87.62	105.21	365.72	293.26	364.78	316.56	327.74	354.03
"FBtr0330185"	1.19	0.00	1.23	0.00	0.00	0.00	0.00	1.26	0.00	2.25	3.54	2.12	14.35	4.68	10.51
"FBtr0073279"	0.16	0.26	0.44	0.50	0.53	0.45	0.14	0.07	0.12	0.13	0.10	0.11	0.69	0.60	1.79
"FBtr0330072"	0.16	0.26	0.44	0.50	0.53	0.45	0.14	0.07	0.12	0.13	0.10	0.11	0.69	0.60	1.79
"FBtr0100536"	2.99	4.18	6.53	2.36	2.80	1.74	0.70	0.46	0.82	2.12	2.14	2.79	1.61	2.71	4.03
"FBtr0080718"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080719"	0.70	4.97	2.59	2.94	2.07	2.94	1.74	1.84	0.00	1.44	0.00	4.81	3.55	0.00	4.43
"FBtr0080720"	8.17	10.40	13.05	10.58	10.75	9.32	7.82	4.30	7.19	7.37	8.57	4.79	4.37	9.20	9.91
"FBtr0080721"	2.10	2.85	2.75	2.21	1.73	1.53	1.44	1.50	1.71	2.80	1.54	1.14	2.10	1.54	2.14
"FBtr0340626"	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0340627"	0.00	0.16	0.08	0.00	0.02	0.04	0.21	0.26	0.18	0.12	0.23	0.14	0.00	0.05	0.00
"FBtr0340628"	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076768"	0.00	0.00	0.00	1.75	2.26	1.20	0.00	0.00	0.03	0.00	0.00	0.00	1.71	0.74	0.00
"FBtr0076769"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0300412"	7.47	8.26	12.31	7.32	5.18	6.65	2.36	2.37	3.35	5.13	4.17	5.66	3.44	5.65	8.79
"FBtr0300413"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332787"	0.00	0.50	1.04	2.09	0.24	1.73	0.32	0.00	0.00	0.00	0.35	0.00	2.26	1.35	1.49
"FBtr0332788"	0.00	0.00	0.26	0.00	0.10	1.06	0.01	0.00	0.00	0.00	0.00	2.39	0.00	0.00	1.22
"FBtr0332789"	0.00	0.08	0.03	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.18
"FBtr0332790"	1.17	3.46	3.11	0.00	2.85	0.00	1.77	0.58	0.00	2.26	1.69	0.00	0.21	0.20	1.38
"FBtr0332791"	1.19	0.00	0.13	0.00	0.00	0.00	0.99	0.00	1.21	0.00	0.00	0.26	0.00	1.23	0.08
"FBtr0332792"	0.00	0.23	0.27	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04
"FBtr0345912"	0.00	0.98	0.00	0.00	0.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0088126"	401.03	429.19	411.38	463.57	449.91	442.22	548.23	568.38	568.34	410.08	409.63	387.40	344.78	342.44	346.47
"FBtr0088635"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0111043"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339277"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079134"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0345545"	12.50	14.80	17.24	15.83	17.31	16.02	22.22	14.55	18.83	13.04	11.35	12.52	13.52	12.34	18.31
"FBtr0073029"	20.99	21.02	22.48	31.60	27.48	27.66	1.59	1.30	1.54	18.88	14.08	15.34	17.60	25.03	22.24
"FBtr0086920"	331.06	277.03	255.25	246.52	233.02	260.26	370.24	458.68	411.71	369.68	359.23	336.71	357.01	386.72	240.70
"FBtr0304804"	39.40	42.75	45.50	45.48	47.76	41.72	34.33	28.32	31.29	31.08	28.97	36.73	30.90	29.53	43.56
"FBtr0080180"	133.58	136.44	141.82	182.47	177.40	186.43	175.52	165.84	173.29	136.74	151.78	157.01	141.37	117.85	155.34
"FBtr0081288"	29.02	31.66	26.38	40.99	37.73	38.49	1.16	0.59	0.78	18.95	18.44	23.05	24.75	41.73	29.63
"FBtr0087109"	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331921"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0331922"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336682"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336683"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336950"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072127"	0.05	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00
"FBtr0343274"	0.00	0.09	0.10	0.04	0.00	0.00	0.31	0.05	0.15	0.29	0.13	0.20	0.13	0.00	0.04
"FBtr0076624"	46.52	58.69	73.02	59.85	66.82	58.88	12.27	6.06	9.82	32.65	27.68	36.79	33.40	42.85	55.54
"FBtr0331417"	3.90	6.75	0.00	5.16	0.61	6.96	0.00	0.34	1.99	1.05	8.79	3.17	4.99	1.94	0.01
"FBtr0331418"	4.92	6.56	6.31	8.33	9.85	8.29	0.00	0.00	0.52	7.79	0.90	4.81	4.25	7.33	5.74
"FBtr0345601"	0.33	0.27	0.60	0.00	0.23	0.29	0.55	0.00	0.40	0.00	0.00	0.30	0.00	0.30	0.40
"FBtr0074441"	38.37	47.44	50.27	53.89	56.64	52.25	20.80	15.44	19.68	29.15	28.30	34.65	36.82	42.50	53.41
"FBtr0074442"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0074443"	0.00	0.85	0.00	0.00	0.18	0.43	0.00	0.00	0.00	0.00	0.00	0.26	0.21	0.27	1.69
"FBtr0077530"	0.00	0.00	0.00	0.07	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077531"	0.00	0.00	0.03	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0344768"	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081224"	0.00	0.00	2.74	0.00	0.00	0.01	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336820"	26.06	30.35	29.47	30.86	32.18	29.40	40.41	29.98	37.23	26.93	20.00	26.73	26.81	19.71	34.91
"FBtr0080088"	3.83	7.82	6.35	6.04	7.10	4.20	9.62	9.09	3.55	4.21	1.90	3.52	5.24	2.87	7.45
"FBtr0303904"	9.37	10.23	12.11	9.63	10.64	10.43	11.62	7.87	16.02	5.86	6.01	6.94	7.34	7.15	13.53
"FBtr0333412"	0.12	0.12	0.27	0.10	0.30	0.11	0.13	0.00	0.00	0.00	0.00	0.19	0.11	0.25	0.00
"FBtr0087183"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0071048"	0.00	0.00	0.02	0.06	0.02	0.20	0.02	0.00	0.02	0.00	0.02	0.00	0.02	0.07	0.11
"FBtr0100598"	2.99	4.18	6.53	2.36	2.80	1.74	0.70	0.46	0.82	2.12	2.14	2.79	1.61	2.71	4.03
"FBtr0100599"	10.42	10.73	10.62	7.51	8.16	5.20	1.91	0.56	2.72	6.53	4.51	7.75	9.11	10.00	22.56
"FBtr0331744"	19.64	29.22	31.27	14.76	15.88	14.40	2.04	1.59	1.43	14.50	15.53	16.76	14.42	22.64	21.70
"FBtr0331745"	0.15	0.00	0.00	0.26	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.13	0.00
"FBtr0085352"	23.78	32.71	35.18	27.28	30.63	29.77	15.77	9.22	13.01	19.28	19.98	21.88	25.96	28.91	34.11
"FBtr0085353"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085354"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0336768"	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14
"FBtr0072644"	4.48	10.55	16.15	2.37	3.28	1.11	16.90	8.29	15.26	2.12	1.73	2.08	2.55	5.02	8.87
"FBtr0072645"	0.37	0.15	2.09	0.15	0.13	0.40	2.00	0.75	0.66	0.11	0.00	0.27	0.25	0.14	1.25
"FBtr0072646"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072647"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0072648"	0.00	0.00	0.00	1.06	0.00	0.58	0.00	0.00	0.00	0.16	1.31	0.05	0.59	0.00	0.00
"FBtr0072649"	2.42	1.47	1.29	2.30	3.15	2.69	3.18	3.03	4.59	2.47	1.18	1.71	2.66	1.42	2.42
"FBtr0079875"	67.96	88.74	104.84	90.04	88.92	95.47	138.95	103.19	122.96	58.90	62.46	62.92	65.33	54.98	90.06
"FBtr0085735"	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081627"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339932"	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080434"	83.86	115.96	130.92	77.72	89.79	77.33	86.39	59.03	79.23	56.87	53.89	63.35	63.80	62.42	118.12
"FBtr0100356"	0.06	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.05	0.00	0.05
"FBtr0089041"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077980"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0304710"	50.20	57.23	69.12	65.85	62.14	67.73	16.45	10.63	15.17	30.67	38.08	39.36	40.83	44.23	56.06
"FBtr0344015"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0087114"	7.74	8.94	12.37	16.28	13.41	14.12	5.26	3.17	4.24	9.80	5.95	8.84	6.52	7.34	11.80
"FBtr0087115"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
"FBtr0340067"	3.55	4.78	4.54	1.62	5.73	4.50	4.39	3.72	4.96	2.56	3.75	2.29	5.32	6.50	6.67
"FBtr0340068"	0.77	0.68	0.90	0.97	0.29	0.57	0.45	0.14	0.51	0.27	0.25	0.64	0.34	0.18	0.73
"FBtr0087116"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0445749"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0445750"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079957"	2.34	0.38	3.60	0.00	0.00	0.00	1.23	4.53	0.99	1.45	0.00	1.07	2.56	2.19	4.35
"FBtr0303905"	0.97	1.62	0.00	0.28	0.84	0.37	1.84	1.49	1.46	0.74	1.31	0.46	0.51	0.63	0.89
"FBtr0303906"	1.47	1.31	0.70	0.36	0.00	0.97	0.49	0.41	1.71	0.67	0.28	0.97	0.00	0.46	0.44
"FBtr0303907"	1.25	3.36	3.40	3.27	2.04	1.97	6.14	1.63	4.37	3.62	2.08	3.33	2.80	2.12	4.29
"FBtr0343608"	2.10	3.78	3.61	4.40	5.58	3.83	6.43	1.72	3.93	1.16	2.14	1.86	0.00	0.00	0.00
"FBtr0343609"	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0343610"	0.16	0.10	0.06	0.00	0.04	0.13	0.00	0.00	0.05	0.09	0.09	0.12	0.00	0.05	0.24
"FBtr0082941"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0082942"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0306742"	0.25	0.33	0.53	0.62	0.53	0.54	0.40	0.38	0.34	0.16	0.39	0.15	0.22	0.14	0.15
"FBtr0347151"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081892"	1.22	0.00	4.27	0.47	1.03	0.49	1.33	3.84	5.28	0.52	1.74	1.04	0.00	2.55	1.36
"FBtr0300443"	82.06	96.79	95.58	108.32	106.11	98.59	47.77	32.14	38.05	67.26	71.29	79.37	76.75	85.30	96.24
"FBtr0334320"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.14	0.13	0.00
"FBtr0083684"	19.92	29.24	38.47	19.97	23.33	16.09	12.90	7.03	11.93	11.74	10.97	13.46	14.05	18.79	32.91
"FBtr0331353"	2.62	5.70	7.70	3.29	3.15	2.61	5.88	3.16	5.09	2.58	2.39	3.83	2.63	1.77	4.02
"FBtr0082161"	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.19	0.57	1.47	0.89	0.11	1.81	0.48
"FBtr0082162"	0.00	2.67	1.80	4.67	5.66	7.12	2.40	1.53	1.83	0.72	0.00	0.00	1.40	0.00	3.65
"FBtr0301872"	0.00	0.00	1.02	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301873"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0339719"	41.28	43.92	49.99	47.84	50.31	44.91	52.07	41.65	45.69	35.95	31.00	36.56	38.96	37.93	50.76
"FBtr0078131"	266.74	311.70	326.25	338.21	328.65	329.12	20.41	12.61	18.58	197.28	181.90	219.68	234.17	292.78	313.56
"FBtr0070236"	6.22	9.17	9.44	11.70	11.60	11.12	0.42	0.00	0.45	5.24	5.93	5.73	6.20	8.35	7.21
"FBtr0070237"	4.39	3.10	2.81	7.18	6.04	7.14	0.43	0.14	0.09	3.33	2.27	3.22	4.61	5.26	6.10
"FBtr0332288"	0.41	0.00	0.00	0.00	0.28	1.09	0.00	0.27	0.00	0.60	0.33	0.33	0.65	1.83	1.44
"FBtr0070211"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0303284"	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070209"	60.42	75.34	84.32	91.46	85.01	75.89	39.21	30.15	41.66	49.96	53.24	54.20	48.06	61.63	82.27
"FBtr0310619"	15.57	7.92	12.12	10.54	10.30	17.32	1.98	2.75	1.52	11.11	10.57	12.07	13.74	12.02	6.52
"FBtr0070212"	48.25	56.82	75.66	54.93	56.35	54.40	52.76	45.40	53.04	40.67	34.09	38.64	41.90	38.09	61.93
"FBtr0070235"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0332287"	0.50	0.24	0.00	0.00	0.30	0.23	0.00	0.00	0.00	0.00	0.19	0.36	0.00	0.00	0.00
"FBtr0342738"	21.39	33.61	42.68	25.15	26.78	23.60	51.08	30.93	43.40	20.56	17.41	19.51	21.96	19.35	35.43
"FBtr0070238"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0342730"	0.13	0.14	0.21	0.06	0.13	0.07	0.23	0.40	0.25	0.07	0.06	0.10	0.09	0.12	0.34
"FBtr0081501"	127.36	138.53	125.79	142.48	139.51	137.91	12.01	9.09	10.66	92.29	85.53	97.20	103.71	131.84	132.74
"FBtr0346451"	0.79	1.37	0.73	0.86	0.88	1.16	0.12	0.00	0.00	0.54	0.34	0.80	0.48	0.84	0.27
"FBtr0083575"	589.82	580.58	484.39	628.29	609.94	600.72	661.90	698.43	664.19	630.41	616.75	589.14	652.01	627.51	650.70
"FBtr0083279"	296.83	289.52	262.32	287.84	293.74	289.80	365.34	407.48	377.26	277.55	303.17	285.07	310.95	352.02	285.13
"FBtr0347200"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0347201"	0.23	0.00	0.24	0.10	0.09	0.19	0.00	0.10	0.09	0.09	0.18	0.09	0.29	0.62	0.00
"FBtr0084409"	187.05	199.21	198.56	161.25	156.98	154.62	158.80	151.54	158.03	174.04	179.83	203.17	223.18	234.51	223.13
"FBtr0346160"	0.89	0.66	0.78	0.99	0.79	0.87	0.93	0.69	0.90	0.96	1.28	0.83	1.13	0.42	0.82
"FBtr0072790"	14.32	17.85	22.39	19.27	22.35	18.18	27.31	18.09	25.54	12.32	10.14	13.18	13.70	11.83	22.99
"FBtr0076835"	0.84	1.06	1.24	2.35	1.50	2.34	1.44	1.73	1.95	1.12	1.04	0.67	0.47	1.04	0.23
"FBtr0333367"	122.44	124.40	123.25	129.31	130.49	125.89	155.21	155.82	148.37	109.99	111.42	108.18	123.39	121.68	141.32
"FBtr0082817"	40.85	56.72	79.78	50.59	54.85	47.08	95.83	60.42	86.19	30.62	27.39	32.46	33.59	28.77	66.49
"FBtr0114604"	10.54	14.24	16.04	10.59	10.93	10.52	24.75	15.74	21.02	8.28	7.74	8.86	7.53	6.88	13.31
"FBtr0344783"	0.00	0.00	0.26	0.21	0.00	0.00	0.97	0.41	0.00	0.00	0.00	0.00	0.20	0.21	0.00
"FBtr0087670"	125.62	127.56	139.20	136.22	129.81	140.63	51.66	47.02	53.90	103.53	114.96	117.48	106.04	120.70	121.09
"FBtr0301389"	12.05	12.71	10.34	18.30	15.42	17.41	5.63	5.08	6.49	5.27	12.95	17.55	11.23	12.77	17.88
"FBtr0084280"	220.80	225.30	240.27	255.82	251.01	270.92	134.78	127.97	139.25	207.75	224.04	210.57	238.16	266.33	219.63
"FBtr0080999"	5.73	18.22	24.17	15.77	21.89	21.42	40.44	23.21	25.42	19.75	11.72	12.30	11.89	10.33	11.35
"FBtr0081000"	22.59	26.99	30.87	13.48	24.95	13.10	34.76	23.60	47.91	11.34	11.16	25.60	23.33	15.93	29.76
"FBtr0305685"	1.90	6.34	10.11	7.10	4.56	2.60	8.74	9.47	7.98	2.44	6.07	4.60	5.31	7.68	8.74
"FBtr0346626"	0.00	4.69	2.42	19.97	8.05	21.39	11.94	6.05	0.00	13.55	14.07	2.15	7.83	2.16	13.77
"FBtr0346627"	17.30	0.06	0.00	0.00	0.00	0.19	0.23	5.29	0.05	1.84	1.76	2.08	2.60	0.00	9.46
"FBtr0089257"	0.24	0.29	0.61	0.00	0.19	0.00	0.61	0.40	0.00	0.00	0.00	0.00	0.00	0.40	0.41
"FBtr0089258"	38.67	52.38	61.80	35.04	40.43	33.83	71.47	47.51	60.64	29.90	25.64	31.96	30.49	25.27	61.18
"FBtr0089090"	50.29	73.60	88.36	52.69	60.37	52.14	113.96	93.15	93.82	51.23	39.35	47.60	45.95	40.93	80.79
"FBtr0310536"	11.44	8.88	8.67	9.83	7.32	5.21	17.26	16.92	16.89	5.21	6.81	9.22	5.56	6.92	11.21
"FBtr0310537"	11.47	9.85	7.91	9.03	13.15	10.75	20.58	11.30	21.82	6.88	7.32	6.33	6.89	8.84	13.35
"FBtr0087978"	58.39	66.00	76.83	32.05	33.41	30.48	85.22	73.69	74.79	55.06	44.01	47.53	47.90	42.50	77.78
"FBtr0330629"	58.39	66.00	76.83	32.05	33.41	30.48	85.22	73.69	74.79	55.06	44.01	47.53	47.90	42.50	77.78
"FBtr0299869"	6233.04	5435.85	5181.45	5653.99	5641.43	5552.69	7181.61	7709.22	7231.59	7035.73	6372.61	6322.55	6102.86	5939.95	5393.27
"FBtr0299870"	1078.07	884.76	831.61	927.28	914.02	922.45	1142.44	1397.06	1213.20	942.33	1100.34	1081.93	914.66	940.75	724.40
"FBtr0333910"	53.41	37.74	35.93	40.66	43.99	44.09	48.73	51.82	50.68	47.72	47.77	39.44	52.78	51.12	46.41
"FBtr0080856"	91.24	117.38	125.20	102.20	108.98	88.64	160.04	131.31	143.97	81.87	63.01	76.89	75.12	66.35	132.10
"FBtr0080857"	0.00	0.07	0.00	0.00	0.05	0.06	0.00	0.00	0.00	0.06	0.00	0.00	0.07	0.00	0.05
"FBtr0332357"	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
