	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0307181"	0.08	0.10	0.22	0.13	0.14	0.09	0.16	0.17	0.13	0.16	0.04	0.04	0.09	0.10	0.11
"FBtr0345512"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.09	0.00	0.00	0.04
"FBtr0070101"	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070102"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0273442"	2.72	2.64	2.29	1.63	1.99	2.08	4.51	3.56	3.17	2.26	1.38	2.69	7.96	10.10	12.32
"FBtr0273443"	0.48	0.19	0.00	0.72	0.20	0.00	1.98	1.07	1.88	0.70	1.11	0.45	1.62	1.15	1.67
"FBtr0344150"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.11	0.00	0.12
"FBtr0344151"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070077"	12.37	6.05	6.28	8.87	11.66	7.59	5.92	7.29	7.88	7.75	11.10	8.51	7.84	7.03	6.06
"FBtr0300328"	0.00	0.00	0.00	0.00	0.24	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00
"FBtr0336919"	0.00	0.60	0.23	0.18	0.33	0.19	0.00	0.00	0.00	0.17	0.17	0.35	0.36	0.38	0.00
"FBtr0070050"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070051"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00
"FBtr0070053"	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070054"	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.02	0.00	0.00
"FBtr0307588"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346675"	0.71	1.95	1.45	1.09	1.39	1.88	1.00	0.47	0.44	0.28	1.15	0.57	0.00	0.00	0.00
"FBtr0346676"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346677"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0070001"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079370"	0.21	0.09	0.11	0.17	0.16	0.00	0.11	0.20	0.00	0.17	0.09	0.00	0.18	0.38	0.40
"FBtr0091680"	18.89	21.91	22.94	21.58	22.99	25.52	23.47	28.61	25.55	19.38	16.90	17.61	17.05	15.62	21.09
"FBtr0091681"	1.03	1.00	1.76	0.00	0.92	0.00	0.61	0.42	0.56	0.86	0.71	0.00	0.41	2.01	0.41
"FBtr0091682"	40.69	47.00	51.67	56.37	52.03	49.99	72.17	64.19	66.02	39.61	43.35	43.17	42.99	42.79	47.73
