	"X8294_w_01.genes.results"	"X8295_w_01.genes.results"	"X8296_w_01.genes.results"	"X8297_nos_01.genes.results"	"X8298_nos_01.genes.results"	"X8299_nos_01.genes.results"	"X8300_w_23.genes.results"	"X8301_w_23.genes.results"	"X8302_w_23.genes.results"	"X8303_nos_23.genes.results"	"X8304_nos_23.genes.results"	"X8305_nos_23.genes.results"
"FBgn0085447"	0.26	0.05	0.74	0.06	0.02	0.31	0.50	0.70	0.51	0.24	0.17	0.42
"FBgn0085450"	3.16	1.97	2.40	2.09	1.68	2.53	0.40	0.35	0.28	0.86	0.59	0.75
"FBgn0085451"	35.20	22.66	22.30	27.86	20.35	29.47	39.89	33.98	33.05	34.96	31.95	38.06
"FBgn0085452"	0.99	1.00	1.16	3.47	6.97	4.71	2.46	0.71	2.81	8.06	7.01	7.74
"FBgn0085453"	13.89	12.66	9.13	15.95	17.55	13.88	16.09	16.26	17.65	20.91	18.59	18.56
"FBgn0085454"	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.04	0.00	0.00
"FBgn0085455"	1.93	2.81	5.83	0.00	0.00	0.42	1.66	3.05	2.71	0.00	0.00	0.74
"FBgn0085456"	0.10	0.00	0.94	0.00	0.00	0.00	0.11	0.19	0.26	0.00	0.08	0.09
"FBgn0085457"	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.12	0.13	0.62	0.25
"FBgn0085458"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0085459"	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.22	0.09	0.41
"FBgn0085460"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.02	0.03
"FBgn0085461"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0085462"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
