	"RWUpf_B.isoforms.results"	"RWUpf_C.isoforms.results"	"RWUpf_D.isoforms.results"	"RWNos_A.isoforms.results"	"RWNos_B.isoforms.results"	"RWNos_C.isoforms.results"	"RWUN_G.isoforms.results"	"RWUN_K.isoforms.results"	"RWUN_L.isoforms.results"	"RWL7_A.isoforms.results"	"RWL7_B.isoforms.results"	"RWL7_C.isoforms.results"	"RWW_B.isoforms.results"	"RWW_C.isoforms.results"	"RWW_D.isoforms.results"
"FBtr0078584"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
"FBtr0086479"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0307891"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00
"FBtr0086480"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085188"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085187"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085186"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0080965"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
"FBtr0087044"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0347286"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0076276"	857.00	754.00	618.00	869.00	879.00	848.00	281.00	294.00	254.00	888.00	869.00	1032.00	907.00	917.00	896.00
"FBtr0071016"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00
"FBtr0347285"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
"FBtr0084492"	315.00	288.00	257.00	322.00	327.00	292.00	266.00	365.00	301.00	357.00	352.00	482.00	348.00	283.00	381.00
"FBtr0073106"	96.79	147.67	103.40	202.50	279.95	288.09	145.91	191.42	164.45	227.67	190.71	189.14	189.51	249.94	221.96
"FBtr0073107"	5088.21	5179.33	4111.60	6232.50	6737.05	5794.91	5720.09	6854.58	5601.55	6227.33	6292.29	6157.86	5869.49	5570.06	5767.04
"FBtr0075647"	1161.00	1162.00	946.00	1540.00	1666.00	1418.00	1232.00	1500.00	1354.00	1397.00	1333.00	1361.00	1301.00	1197.00	1343.00
"FBtr0082864"	292.00	354.81	260.89	474.82	463.34	414.60	403.00	460.00	389.48	341.00	425.10	287.74	272.00	280.73	318.00
"FBtr0344411"	0.00	3.19	3.11	6.18	18.66	9.40	0.00	0.00	6.52	0.00	13.90	3.26	0.00	3.27	0.00
