	"RWUpf_B.genes.results"	"RWUpf_C.genes.results"	"RWUpf_D.genes.results"	"RWNos_A.genes.results"	"RWNos_B.genes.results"	"RWNos_C.genes.results"	"RWUN_G.genes.results"	"RWUN_K.genes.results"	"RWUN_L.genes.results"	"RWL7_A.genes.results"	"RWL7_B.genes.results"	"RWL7_C.genes.results"	"RWW_B.genes.results"	"RWW_C.genes.results"	"RWW_D.genes.results"
"FBgn0038613"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038617"	8.80	9.82	10.21	12.27	12.14	13.39	0.26	0.20	0.25	6.84	5.81	7.02	9.33	11.54	10.55
"FBgn0038619"	35.72	35.88	33.19	36.44	32.20	36.37	3.13	2.39	3.88	32.84	34.86	36.91	36.29	43.71	31.85
"FBgn0038621"	0.05	0.00	0.11	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038626"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038627"	38.19	33.87	31.46	24.55	27.17	28.08	43.58	46.63	48.58	35.78	41.63	40.89	43.78	40.65	50.49
"FBgn0038629"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBgn0038630"	0.06	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
"FBgn0038631"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00
"FBgn0038632"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.03
"FBgn0038638"	0.30	0.32	0.21	0.72	0.45	0.61	0.00	0.10	0.14	0.22	0.26	0.30	0.20	0.36	0.34
"FBgn0038639"	47.27	53.13	62.09	54.08	56.32	55.55	77.05	64.38	70.87	41.07	37.90	44.90	42.67	37.46	58.77
"FBgn0038640"	20.45	22.47	28.15	24.15	25.53	24.98	22.48	18.45	21.99	16.01	16.36	19.94	20.27	20.35	30.71
