	"X8294_w_01.isoforms.results"	"X8295_w_01.isoforms.results"	"X8296_w_01.isoforms.results"	"X8297_nos_01.isoforms.results"	"X8298_nos_01.isoforms.results"	"X8299_nos_01.isoforms.results"	"X8300_w_23.isoforms.results"	"X8301_w_23.isoforms.results"	"X8302_w_23.isoforms.results"	"X8303_nos_23.isoforms.results"	"X8304_nos_23.isoforms.results"	"X8305_nos_23.isoforms.results"
"FBtr0088163"	0.75	0.48	2.76	0.00	0.00	0.19	1.72	2.65	2.06	0.09	0.00	0.34
"FBtr0088162"	0.94	1.45	7.33	0.00	0.00	0.00	3.47	8.74	8.71	0.00	0.00	0.07
"FBtr0088164"	1.86	4.19	12.83	0.00	0.00	0.18	4.33	9.08	10.36	0.00	0.00	1.87
"FBtr0081054"	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.13	0.00	0.08	0.05
"FBtr0340581"	0.00	0.00	0.00	0.00	0.03	0.00	0.08	0.00	0.00	0.00	0.00	0.00
"FBtr0070447"	39.93	38.01	37.34	37.87	32.17	36.68	2.57	2.32	3.36	7.32	6.00	4.28
"FBtr0076299"	0.07	0.00	0.03	0.00	0.03	0.02	0.00	0.05	0.02	0.02	0.02	0.04
"FBtr0077881"	126.52	115.96	109.22	110.59	90.85	109.32	74.78	69.64	64.24	82.94	73.62	79.91
"FBtr0331630"	33.15	38.09	36.86	31.19	43.14	32.93	30.72	30.31	28.18	31.98	30.25	34.31
"FBtr0072777"	179.59	158.92	141.61	168.03	174.47	169.04	184.00	169.01	183.51	169.31	164.48	169.89
"FBtr0070387"	0.19	0.08	0.54	0.14	0.43	0.69	0.80	1.13	0.99	1.59	2.00	0.84
"FBtr0345609"	0.12	0.13	0.15	0.10	0.13	0.49	0.21	0.42	0.37	0.55	0.69	0.85
"FBtr0084607"	0.27	0.38	0.00	0.00	0.00	0.19	0.00	0.87	0.34	0.00	0.00	0.08
"FBtr0334600"	0.00	0.00	0.10	0.00	0.00	0.00	0.51	0.00	0.00	0.09	0.00	0.00
"FBtr0346341"	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00
"FBtr0290283"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301351"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0308191"	0.01	0.01	0.07	0.00	0.00	0.00	0.01	0.07	0.00	0.02	0.00	0.02
"FBtr0330711"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0346763"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0079931"	31.45	33.61	34.82	35.02	40.52	40.41	6.45	7.71	6.67	21.20	19.59	18.28
"FBtr0079932"	0.00	0.00	1.08	1.17	0.00	2.59	1.62	0.00	0.00	5.11	4.47	0.01
"FBtr0305986"	0.00	0.00	0.00	0.00	0.37	0.00	0.00	1.21	0.28	0.00	0.06	3.53
"FBtr0343741"	53.14	46.98	54.50	37.13	42.86	38.10	52.65	46.64	50.91	42.09	39.98	40.53
"FBtr0071266"	190.50	198.75	184.06	147.53	144.86	142.88	220.97	216.56	196.05	166.04	153.71	172.59
"FBtr0071267"	1.70	3.55	2.16	9.48	11.65	12.62	0.38	2.79	3.04	16.57	16.87	22.15
"FBtr0310067"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.68	17.55	0.00
"FBtr0333604"	61.43	68.16	88.78	65.35	85.18	64.12	85.42	99.45	79.95	67.45	65.13	80.74
"FBtr0333605"	0.94	2.88	2.24	1.30	1.13	0.55	2.84	2.08	2.24	1.49	0.00	1.76
"FBtr0086802"	0.00	0.00	0.00	0.03	0.00	0.14	0.09	0.10	0.00	0.00	0.00	0.00
"FBtr0340287"	0.13	0.04	0.05	0.00	0.08	0.00	0.00	0.00	0.17	0.15	0.12	0.13
"FBtr0078267"	0.15	0.19	0.45	0.53	0.51	2.03	0.24	0.46	0.36	2.29	1.55	1.41
"FBtr0087821"	0.00	0.00	0.45	0.93	0.00	0.17	0.49	0.43	1.48	3.13	3.58	5.55
"FBtr0087822"	13.10	9.08	11.71	6.91	8.47	13.53	24.54	19.09	20.98	18.87	16.20	19.08
"FBtr0339649"	4.29	6.09	4.54	4.91	2.71	2.80	5.93	8.24	4.00	4.48	4.16	5.25
"FBtr0084399"	0.09	0.09	0.07	0.08	0.03	0.06	0.03	0.09	0.00	0.06	0.05	0.08
"FBtr0077446"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0077447"	0.70	0.44	1.88	0.00	0.00	0.45	1.53	2.17	2.15	0.07	0.12	0.23
"FBtr0077448"	0.04	0.08	0.16	0.00	0.00	0.01	0.00	0.16	0.26	0.04	0.16	0.13
"FBtr0301407"	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0301408"	0.00	0.00	0.00	0.03	0.00	0.17	0.13	0.00	0.00	0.00	0.00	0.00
"FBtr0087841"	8.30	8.62	8.65	6.34	5.85	10.42	9.25	11.85	11.83	9.66	6.84	12.27
"FBtr0087842"	129.47	119.12	121.46	111.25	116.80	124.59	212.76	207.12	202.08	175.63	171.85	193.31
"FBtr0087843"	2.77	2.66	2.16	3.00	5.76	3.58	4.39	4.38	4.08	2.44	2.56	4.44
"FBtr0070448"	72.67	62.38	55.15	59.97	46.38	57.15	12.96	12.20	15.20	21.32	18.86	16.98
"FBtr0340093"	3.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0081374"	247.19	252.59	205.62	264.57	223.39	246.06	25.48	30.44	37.99	58.15	60.82	50.66
"FBtr0076841"	82.58	90.39	76.43	100.79	100.85	112.02	135.78	128.92	154.41	124.01	118.40	134.10
"FBtr0076842"	131.83	88.86	81.62	157.90	146.01	147.06	176.26	175.16	174.65	178.99	173.99	189.79
"FBtr0076843"	4.89	3.88	4.24	7.77	5.37	3.58	9.00	1.58	6.27	9.26	8.09	7.56
"FBtr0076844"	0.81	0.00	0.00	0.00	0.30	0.91	0.95	3.84	2.77	0.29	0.72	0.53
"FBtr0076845"	1.19	0.59	1.91	0.95	1.26	1.36	4.07	5.06	5.74	3.83	4.07	5.89
"FBtr0089210"	32.80	46.44	53.94	11.76	14.39	15.24	58.39	54.54	49.13	19.16	26.78	25.01
"FBtr0089211"	12.22	17.62	21.17	3.46	2.86	3.97	13.68	15.14	8.35	6.16	6.26	9.79
"FBtr0089214"	6.91	7.82	5.66	2.75	6.29	1.74	15.51	18.24	16.67	8.90	8.87	4.44
"FBtr0309882"	0.90	1.20	1.45	0.00	0.00	0.71	0.65	1.33	1.91	0.99	1.86	1.35
"FBtr0345298"	0.00	0.00	0.00	0.98	0.80	0.67	0.00	0.00	0.87	0.74	0.30	3.14
"FBtr0077616"	134.45	124.81	125.06	123.21	115.20	124.82	153.41	134.30	114.11	130.49	114.70	137.19
"FBtr0332372"	0.60	1.27	1.41	0.29	1.13	1.64	2.25	2.31	2.10	1.60	3.79	3.09
"FBtr0073260"	0.78	0.00	0.00	0.00	0.87	3.06	10.64	13.89	13.93	9.06	11.54	13.10
"FBtr0332659"	0.00	0.63	0.73	0.66	0.90	0.00	2.65	0.81	1.07	0.56	0.46	0.00
"FBtr0085815"	1.36	0.25	0.00	8.14	0.00	3.27	0.00	0.00	0.00	0.00	0.00	0.00
"FBtr0085816"	0.47	0.00	0.00	0.60	0.00	0.00	0.43	0.51	0.00	0.00	0.00	0.00
"FBtr0337030"	55.63	43.79	42.32	43.84	47.12	47.52	39.68	31.21	30.00	45.42	39.44	41.56
"FBtr0088443"	1.85	0.85	0.59	1.47	1.49	1.61	0.00	0.00	0.19	0.75	0.59	0.36
"FBtr0088444"	1.25	0.90	0.20	1.45	0.96	1.76	1.10	1.86	0.80	3.73	3.42	2.04
